
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 15-Feb-2024 at 11:56:22.

 
 
 
      Time        ANCHTEN1        ANCHTEN2        ANCHTEN3        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    1.3125   1.5804700E+06   1.2476820E+06   1.2222424E+06   2.7073262E+06   2.3266765E+06   2.2964335E+06
    1.3250   1.5923361E+06   1.2414392E+06   1.2157754E+06   2.7182035E+06   2.3220648E+06   2.2912085E+06
    1.3375   1.6053211E+06   1.2348022E+06   1.2085206E+06   2.7299260E+06   2.3169972E+06   2.2853332E+06
    1.3500   1.6190479E+06   1.2279985E+06   1.2007269E+06   2.7421498E+06   2.3116522E+06   2.2790340E+06
    1.3625   1.6331108E+06   1.2212606E+06   1.1926685E+06   2.7545055E+06   2.3062185E+06   2.2725605E+06
    1.3750   1.6470941E+06   1.2148164E+06   1.1846318E+06   2.7666128E+06   2.3008890E+06   2.2661760E+06
    1.3875   1.6605891E+06   1.2088810E+06   1.1769035E+06   2.7780950E+06   2.2958550E+06   2.2601458E+06
    1.4000   1.6732110E+06   1.2036482E+06   1.1697572E+06   2.7885928E+06   2.2912982E+06   2.2547245E+06
    1.4125   1.6846152E+06   1.1992838E+06   1.1634425E+06   2.7977795E+06   2.2873860E+06   2.2501462E+06
    1.4250   1.6945108E+06   1.1959181E+06   1.1581739E+06   2.8053725E+06   2.2842628E+06   2.2466140E+06
    1.4375   1.7026721E+06   1.1936430E+06   1.1541224E+06   2.8111460E+06   2.2820460E+06   2.2442912E+06
    1.4500   1.7089475E+06   1.1925071E+06   1.1514094E+06   2.8149380E+06   2.2808202E+06   2.2432955E+06
    1.4625   1.7132641E+06   1.1925152E+06   1.1501019E+06   2.8166598E+06   2.2806328E+06   2.2436928E+06
    1.4750   1.7156302E+06   1.1936280E+06   1.1502105E+06   2.8162972E+06   2.2814918E+06   2.2454958E+06
    1.4875   1.7161338E+06   1.1957639E+06   1.1516905E+06   2.8139145E+06   2.2833635E+06   2.2486628E+06
    1.5000   1.7149371E+06   1.1988031E+06   1.1544439E+06   2.8096502E+06   2.2861748E+06   2.2531000E+06
    1.5125   1.7122700E+06   1.2025926E+06   1.1583240E+06   2.8037140E+06   2.2898132E+06   2.2586645E+06
    1.5250   1.7084181E+06   1.2069522E+06   1.1631428E+06   2.7963770E+06   2.2941335E+06   2.2651695E+06
    1.5375   1.7037115E+06   1.2116829E+06   1.1686778E+06   2.7879635E+06   2.2989610E+06   2.2723918E+06
    1.5500   1.6985091E+06   1.2165748E+06   1.1746828E+06   2.7788370E+06   2.3041005E+06   2.2800805E+06
    1.5625   1.6931844E+06   1.2214152E+06   1.1808970E+06   2.7693862E+06   2.3093442E+06   2.2879670E+06
    1.5750   1.6881086E+06   1.2259986E+06   1.1870566E+06   2.7600098E+06   2.3144790E+06   2.2957732E+06
    1.5875   1.6836355E+06   1.2301331E+06   1.1929054E+06   2.7510998E+06   2.3192975E+06   2.3032258E+06
    1.6000   1.6800870E+06   1.2336490E+06   1.1982055E+06   2.7430262E+06   2.3236055E+06   2.3100650E+06
    1.6125   1.6777389E+06   1.2364041E+06   1.2027471E+06   2.7361218E+06   2.3272300E+06   2.3160560E+06
    1.6250   1.6768108E+06   1.2382896E+06   1.2063581E+06   2.7306675E+06   2.3300265E+06   2.3209988E+06
    1.6375   1.6774559E+06   1.2392332E+06   1.2089108E+06   2.7268828E+06   2.3318848E+06   2.3247375E+06
    1.6500   1.6797559E+06   1.2392009E+06   1.2103272E+06   2.7249150E+06   2.3327320E+06   2.3271658E+06
    1.6625   1.6837169E+06   1.2381982E+06   1.2105839E+06   2.7248345E+06   2.3325375E+06   2.3282332E+06
    1.6750   1.6892694E+06   1.2362689E+06   1.2097115E+06   2.7266312E+06   2.3313105E+06   2.3279462E+06
    1.6875   1.6962709E+06   1.2334930E+06   1.2077949E+06   2.7302160E+06   2.3291030E+06   2.3263688E+06
    1.7000   1.7045121E+06   1.2299836E+06   1.2049688E+06   2.7354248E+06   2.3260050E+06   2.3236185E+06
    1.7125   1.7137244E+06   1.2258819E+06   1.2014120E+06   2.7420248E+06   2.3221418E+06   2.3198630E+06
    1.7250   1.7235911E+06   1.2213526E+06   1.1973404E+06   2.7497262E+06   2.3176698E+06   2.3153102E+06
    1.7375   1.7337601E+06   1.2165776E+06   1.1929962E+06   2.7581932E+06   2.3127692E+06   2.3102002E+06
    1.7500   1.7438576E+06   1.2117494E+06   1.1886388E+06   2.7670590E+06   2.3076392E+06   2.3047940E+06
    1.7625   1.7535029E+06   1.2070638E+06   1.1845316E+06   2.7759398E+06   2.3024892E+06   2.2993622E+06
    1.7750   1.7623235E+06   1.2027135E+06   1.1809325E+06   2.7844530E+06   2.2975308E+06   2.2941725E+06
    1.7875   1.7699696E+06   1.1988805E+06   1.1780810E+06   2.7922312E+06   2.2929710E+06   2.2894795E+06
    1.8000   1.7761286E+06   1.1957298E+06   1.1761888E+06   2.7989380E+06   2.2890028E+06   2.2855110E+06
    1.8125   1.7805369E+06   1.1934021E+06   1.1754301E+06   2.8042800E+06   2.2857988E+06   2.2824642E+06
