
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 20-Feb-2024 at 12:40:50.

 
 
 
      Time        ANCHTEN1        ANCHTEN2        ANCHTEN3        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    1.7875   1.8542719E+06   1.1756139E+06   1.1558936E+06   2.8812405E+06   2.2665312E+06   2.2654442E+06
    1.8000   1.8604780E+06   1.1726619E+06   1.1539726E+06   2.8870720E+06   2.2631590E+06   2.2618345E+06
    1.8125   1.8649409E+06   1.1705179E+06   1.1531795E+06   2.8915112E+06   2.2605080E+06   2.2591275E+06
    1.8250   1.8674274E+06   1.1693004E+06   1.1536710E+06   2.8943040E+06   2.2587232E+06   2.2574965E+06
    1.8375   1.8677708E+06   1.1690950E+06   1.1555540E+06   2.8952595E+06   2.2579185E+06   2.2570672E+06
    1.8500   1.8658774E+06   1.1699519E+06   1.1588804E+06   2.8942585E+06   2.2581708E+06   2.2579142E+06
    1.8625   1.8617310E+06   1.1718826E+06   1.1636450E+06   2.8912562E+06   2.2595178E+06   2.2600595E+06
    1.8750   1.8553934E+06   1.1748592E+06   1.1697861E+06   2.8862855E+06   2.2619558E+06   2.2634708E+06
    1.8875   1.8470019E+06   1.1788160E+06   1.1771875E+06   2.8794535E+06   2.2654388E+06   2.2680658E+06
    1.9000   1.8367645E+06   1.1836500E+06   1.1856836E+06   2.8709372E+06   2.2698815E+06   2.2737150E+06
    1.9125   1.8249518E+06   1.1892262E+06   1.1950661E+06   2.8609760E+06   2.2751608E+06   2.2802482E+06
    1.9250   1.8118859E+06   1.1953820E+06   1.2050922E+06   2.8498608E+06   2.2811225E+06   2.2874630E+06
    1.9375   1.7979286E+06   1.2019331E+06   1.2154949E+06   2.8379232E+06   2.2875860E+06   2.2951312E+06
    1.9500   1.7834662E+06   1.2086814E+06   1.2259930E+06   2.8255200E+06   2.2943520E+06   2.3030105E+06
    1.9625   1.7688946E+06   1.2154220E+06   1.2363031E+06   2.8130200E+06   2.3012110E+06   2.3108530E+06
    1.9750   1.7546038E+06   1.2219519E+06   1.2461505E+06   2.8007888E+06   2.3079505E+06   2.3184150E+06
    1.9875   1.7409619E+06   1.2280774E+06   1.2552798E+06   2.7891728E+06   2.3143645E+06   2.3254690E+06
    2.0000   1.7283015E+06   1.2336221E+06   1.2634656E+06   2.7784872E+06   2.3202605E+06   2.3318095E+06
    2.0125   1.7169064E+06   1.2384334E+06   1.2705216E+06   2.7690020E+06   2.3254675E+06   2.3372648E+06
    2.0250   1.7070009E+06   1.2423885E+06   1.2763068E+06   2.7609325E+06   2.3298422E+06   2.3417002E+06
    2.0375   1.6987415E+06   1.2453991E+06   1.2807315E+06   2.7544305E+06   2.3332745E+06   2.3450258E+06
    2.0500   1.6922111E+06   1.2474148E+06   1.2837609E+06   2.7495788E+06   2.3356910E+06   2.3471980E+06
    2.0625   1.6874170E+06   1.2484245E+06   1.2854150E+06   2.7463882E+06   2.3370578E+06   2.3482235E+06
    2.0750   1.6842909E+06   1.2484575E+06   1.2857681E+06   2.7447990E+06   2.3373818E+06   2.3481542E+06
    2.0875   1.6826928E+06   1.2475816E+06   1.2849445E+06   2.7446808E+06   2.3367105E+06   2.3470908E+06
    2.1000   1.6824172E+06   1.2459010E+06   1.2831126E+06   2.7458422E+06   2.3351285E+06   2.3451702E+06
    2.1125   1.6832028E+06   1.2435515E+06   1.2804776E+06   2.7480362E+06   2.3327570E+06   2.3425670E+06
    2.1250   1.6847425E+06   1.2406960E+06   1.2772719E+06   2.7509712E+06   2.3297462E+06   2.3394795E+06
    2.1375   1.6866981E+06   1.2375181E+06   1.2737450E+06   2.7543240E+06   2.3262722E+06   2.3361250E+06
    2.1500   1.6887136E+06   1.2342146E+06   1.2701528E+06   2.7577520E+06   2.3225278E+06   2.3327272E+06
    2.1625   1.6904300E+06   1.2309881E+06   1.2667462E+06   2.7609075E+06   2.3187175E+06   2.3295088E+06
    2.1750   1.6915008E+06   1.2280388E+06   1.2637608E+06   2.7634518E+06   2.3150475E+06   2.3266808E+06
    2.1875   1.6916058E+06   1.2255566E+06   1.2614066E+06   2.7650700E+06   2.3117185E+06   2.3244332E+06
    2.2000   1.6904648E+06   1.2237136E+06   1.2598609E+06   2.7654815E+06   2.3089172E+06   2.3229292E+06
    2.2125   1.6878485E+06   1.2226571E+06   1.2592595E+06   2.7644540E+06   2.3068095E+06   2.3222965E+06
    2.2250   1.6835881E+06   1.2225029E+06   1.2596932E+06   2.7618108E+06   2.3055315E+06   2.3226235E+06
    2.2375   1.6775819E+06   1.2233310E+06   1.2612044E+06   2.7574388E+06   2.3051862E+06   2.3239565E+06
    2.2500   1.6697995E+06   1.2251815E+06   1.2637854E+06   2.7512940E+06   2.3058368E+06   2.3262975E+06
    2.2625   1.6602825E+06   1.2280534E+06   1.2673809E+06   2.7434015E+06   2.3075050E+06   2.3296052E+06
    2.2750   1.6491430E+06   1.2319032E+06   1.2718901E+06   2.7338565E+06   2.3101692E+06   2.3337968E+06
    2.2875   1.6365584E+06   1.2366472E+06   1.2771719E+06   2.7228202E+06   2.3137658E+06   2.3387518E+06
    2.3000   1.6227644E+06   1.2421644E+06   1.2830512E+06   2.7105128E+06   2.3181900E+06   2.3443168E+06
    2.3125   1.6080452E+06   1.2483004E+06   1.2893270E+06   2.6972060E+06   2.3233022E+06   2.3503128E+06
    2.3250   1.5927218E+06   1.2548746E+06   1.2957801E+06   2.6832115E+06   2.3289320E+06   2.3565408E+06
    2.3375   1.5771392E+06   1.2616866E+06   1.3021832E+06   2.6688702E+06   2.3348860E+06   2.3627912E+06
    2.3500   1.5616528E+06   1.2685241E+06   1.3083099E+06   2.6545372E+06   2.3409552E+06   2.3688518E+06
    2.3625   1.5466139E+06   1.2751719E+06   1.3139430E+06   2.6405695E+06   2.3469248E+06   2.3745142E+06
    2.3750   1.5323564E+06   1.2814195E+06   1.3188845E+06   2.6273105E+06   2.3525815E+06   2.3795850E+06
    2.3875   1.5191834E+06   1.2870704E+06   1.3229621E+06   2.6150795E+06   2.3577242E+06   2.3838905E+06
    2.4000   1.5073561E+06   1.2919492E+06   1.3260365E+06   2.6041560E+06   2.3621702E+06   2.3872840E+06
    2.4125   1.4970836E+06   1.2959090E+06   1.3280064E+06   2.5947722E+06   2.3657642E+06   2.3896525E+06
    2.4250   1.4885155E+06   1.2988364E+06   1.3288116E+06   2.5871020E+06   2.3683835E+06   2.3909190E+06
    2.4375   1.4817364E+06   1.3006568E+06   1.3284356E+06   2.5812572E+06   2.3699435E+06   2.3910468E+06
    2.4500   1.4767636E+06   1.3013366E+06   1.3269051E+06   2.5772812E+06   2.3704012E+06   2.3900395E+06
    2.4625   1.4735472E+06   1.3008852E+06   1.3242888E+06   2.5751510E+06   2.3697565E+06   2.3879410E+06
    2.4750   1.4719726E+06   1.2993540E+06   1.3206931E+06   2.5747762E+06   2.3680512E+06   2.3848335E+06
    2.4875   1.4718660E+06   1.2968344E+06   1.3162586E+06   2.5760052E+06   2.3653695E+06   2.3808330E+06
    2.5000   1.4730020E+06   1.2934546E+06   1.3111529E+06   2.5786318E+06   2.3618320E+06   2.3760858E+06
