
These predictions were generated by MoorDyn (v2.0.02022-12-08) on 20-Sep-2023 at 07:59:09.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)
    1.7700   3.3318862E+06   3.0836460E+06   3.1757105E+06
    1.7800   3.3318862E+06   3.0836460E+06   3.1757105E+06
    1.7900   3.3318865E+06   3.0836460E+06   3.1757102E+06
    1.8000   3.3318865E+06   3.0836462E+06   3.1757100E+06
    1.8100   3.3318865E+06   3.0836462E+06   3.1757100E+06
    1.8200   3.3318868E+06   3.0836465E+06   3.1757098E+06
    1.8300   3.3318868E+06   3.0836468E+06   3.1757092E+06
    1.8400   3.3318870E+06   3.0836468E+06   3.1757090E+06
    1.8500   3.3318872E+06   3.0836470E+06   3.1757088E+06
    1.8600   3.3318872E+06   3.0836472E+06   3.1757085E+06
    1.8700   3.3318875E+06   3.0836472E+06   3.1757082E+06
    1.8800   3.3318875E+06   3.0836475E+06   3.1757080E+06
    1.8900   3.3318875E+06   3.0836475E+06   3.1757078E+06
    1.9000   3.3318878E+06   3.0836478E+06   3.1757078E+06
    1.9100   3.3318878E+06   3.0836478E+06   3.1757078E+06
    1.9200   3.3318878E+06   3.0836478E+06   3.1757078E+06
    1.9300   3.3318875E+06   3.0836478E+06   3.1757078E+06
    1.9400   3.3318875E+06   3.0836478E+06   3.1757078E+06
    1.9500   3.3318875E+06   3.0836478E+06   3.1757080E+06
    1.9600   3.3318872E+06   3.0836478E+06   3.1757080E+06
    1.9700   3.3318872E+06   3.0836478E+06   3.1757082E+06
    1.9800   3.3318870E+06   3.0836475E+06   3.1757085E+06
    1.9900   3.3318870E+06   3.0836475E+06   3.1757088E+06
    2.0000   3.3318868E+06   3.0836475E+06   3.1757088E+06
    2.0100   3.3318868E+06   3.0836475E+06   3.1757090E+06
    2.0200   3.3318868E+06   3.0836475E+06   3.1757090E+06
    2.0300   3.3318868E+06   3.0836475E+06   3.1757090E+06
    2.0400   3.3318865E+06   3.0836475E+06   3.1757090E+06
    2.0500   3.3318865E+06   3.0836478E+06   3.1757090E+06
